"Name","Operating System","Display","Camera","Battery","Special Features""Mobile Phones",,,,,,,,
"Samsung Galaxy A10","Android v9.0 (Pie)","6.2 inches (15.75 cm) bezel-less display with waterdrop notch","13 MP Rear Camera 5 MP Front Camera","3400 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"OnePlus 6T","Android v9.0 (Pie)","6.41 inches (16.28 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","16 + 20 MP Dual Rear Cameras 16 MP Front Camera","3700 mAh battery with Dash Charging, charges upto 50% in 28 minutes","On-screen Fingerprint Sensor which unlocks in 0.34 seconds Face Unlock No 3.5 mm headphone jack present",,,
"Xiaomi Redmi Go","Android v8.1 (Oreo)","5.0 inches (12.7 cm) display","8 MP Rear Camera 5 MP Front Camera","3000 mAh battery","No Fingerprint Sensor 3.5 mm headphone jack present",,,
"Oppo F11","Android v9.0 (Pie)","6.5 inches (16.51 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 16 MP Front Camera","4020 mAh battery with VOOC Charging v3.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme 2 Pro","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","16 + 2 MP Dual Rear Cameras 16 MP Front Camera","3500 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Vivo Z1 Pro 128GB","Android v9.0 (Pie)","6.53 inches (16.59 cm) bezel-less display with punch-hole display","16 + 8 + 2 MP Triple Rear Cameras 32 MP Front Camera","5000 mAh battery with Fast Charging","Rear Fingerprint Sensor 3.5 mm headphone jack present",,,
"Xiaomi Redmi 7A 32GB","Android v9.0 (Pie)","5.45 inches (13.84 cm) bezel-less display","12 MP Rear Camera 5 MP Front Camera","4000 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Vivo Y17","Android v9.0 (Pie)","6.35 inches (16.13 cm) bezel-less display with waterdrop notch","13 + 8 + 2 MP Triple Rear Cameras 20 MP Front Camera","5000 mAh battery with Fast Charging","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Poco F1","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","6.18 inches (15.7 cm) bezel-less display with notch Corning Gorilla Glass Protection","12 + 5 MP Dual Rear Cameras 20 MP Front Camera","4000 mAh battery with Quick Charging v3.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Mi A3","Android v9.0 (Pie)","6.08 inches (15.44 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","48 + 8 + 2 MP Triple Rear Cameras 32 MP Front Camera","4030 mAh battery with Fast Charging","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Oppo K1","Android v8.1 (Oreo)","6.4 inches (16.26 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","16 + 2 MP Dual Rear Cameras 25 MP Front Camera","3600 mAh battery","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Vivo Y12","Android v9.0 (Pie)","6.35 inches (16.13 cm) bezel-less display with waterdrop notch","13 + 8 + 2 MP Triple Rear Cameras 8 MP Front Camera","5000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme 3 Pro 128GB","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","16 + 5 MP Dual Rear Cameras 25 MP Front Camera","4045 mAh battery with VOOC Charging v3.0, charges upto 50% in 30 minutes","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Oppo Reno","Android v9.0 (Pie)","6.4 inches (16.26 cm) bezel-less display Gorilla Glass 5 Protection","48 + 5 MP Dual Rear Cameras 16 MP Front Camera","3765 mAh battery with VOOC Charging v3.0","On-screen Fingerprint Sensor 3.5 mm headphone jack present",,,
"Apple iPhone X","iOS v11.0.1 Upgradable to v11.3","5.8 inches (14.73 cm) bezel-less display with notch Oleophobic coating Protection","12 + 12 MP Dual Rear Cameras 7 MP Front Camera","2716 mAh battery with Fast Charging, charges upto 50% in 30 minutes Wireless Charging","No Fingerprint Sensor Face Unlock No 3.5 mm headphone jack present",,,
"Samsung Galaxy A80","Android v9.0 (Pie)","6.7 inches (17.02 cm) bezel-less display Gorilla Glass 5 Protection","48 + 8 MP Dual Rear Cameras 48 + 8 MP Dual Front Cameras","3700 mAh battery with Fast Charging","On-screen Fingerprint Sensor No 3.5 mm headphone jack present",,,
"Samsung Galaxy S10 Plus","Android v9.0 (Pie)","6.4 inches (16.26 cm) bezel-less display with punch-hole display Gorilla Glass 5 Protection","12 + 12 + 16 MP Triple Rear Cameras 10 + 8 MP Dual Front Cameras","4100 mAh battery with Fast Charging Wireless Charging","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Mi A2","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","5.99 inches (15.21 cm) bezel-less display Gorilla Glass 5 Protection","12 + 20 MP Dual Rear Cameras 20 MP Front Camera","3010 mAh battery with Quick Charging v4.0, charges upto 50% in 30 minutes","Rear Fingerprint Sensor No 3.5 mm headphone jack present",,,
"Vivo Z1 Pro 6GB RAM","Android v9.0 (Pie)","6.53 inches (16.59 cm) bezel-less display with punch-hole display","16 + 8 + 2 MP Triple Rear Cameras 32 MP Front Camera","5000 mAh battery with Fast Charging","Rear Fingerprint Sensor 3.5 mm headphone jack present",,,
"Realme 3 Pro 6GB RAM","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","16 + 5 MP Dual Rear Cameras 25 MP Front Camera","4045 mAh battery with VOOC Charging v3.0, charges upto 50% in 30 minutes","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"LG W30","Android v9.0 (Pie)","6.26 inches (15.9 cm) bezel-less display with waterdrop notch","12 + 13 + 2 MP Triple Rear Cameras 16 MP Front Camera","4000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme U1","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with waterdrop notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 25 MP Front Camera","3500 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi Note 5 Pro","Android v7.1.2 (Nougat) Upgradable to v9.0 (Pie)","5.99 inches (15.21 cm) bezel-less display Corning Gorilla Glass Protection","12 + 5 MP Dual Rear Cameras 20 MP Front Camera","4000 mAh battery with Quick Charging v2.0","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme 3 64GB","Android v9.0 (Pie)","6.2 inches (15.75 cm) bezel-less display with notch Gorilla Glass 5 Protection","13 + 2 MP Dual Rear Cameras 13 MP Front Camera","4230 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Motorola One Power","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","6.2 inches (15.75 cm) bezel-less display with notch Corning Gorilla Glass Protection","16 + 5 MP Dual Rear Cameras 12 MP Front Camera","5000 mAh battery with Turbo Power Charging","Rear Fingerprint Sensor 3.5 mm headphone jack present",,,
"Motorola One Vision","Android v9.0 (Pie)","6.3 inches (16 cm) bezel-less display with punch-hole display Corning Gorilla Glass Protection","48 + 5 MP Dual Rear Cameras 25 MP Front Camera","3500 mAh battery with Turbo Power Charging","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Asus Zenfone Max Pro M1 64GB","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","5.99 inches (15.21 cm) bezel-less display","13 + 5 MP Dual Rear Cameras 8 MP Front Camera","5000 mAh battery","Rear Fingerprint Sensor which unlocks in 0.3 seconds Face Unlock 3.5 mm headphone jack present",,,
"Vivo Y91","Android v8.1 (Oreo)","6.22 inches (15.8 cm) bezel-less display with waterdrop notch","13 + 2 MP Dual Rear Cameras 8 MP Front Camera","4030 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Mobile Phones",,,,,,,,
"Asus Zenfone Max Pro","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","5.99 inches (15.21 cm) bezel-less display","13 + 5 MP Dual Rear Cameras 8 MP Front Camera","5000 mAh battery","Rear Fingerprint Sensor which unlocks in 0.3 seconds Face Unlock 3.5 mm headphone jack present",,,
"Samsung Galaxy M10","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","6.22 inches (15.8 cm) bezel-less display with waterdrop notch","13 + 5 MP Dual Rear Cameras 5 MP Front Camera","3400 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Honor 9N 64GB","Android v8.0 (Oreo)","5.84 inches (14.83 cm) bezel-less display with notch","13 + 2 MP Dual Rear Cameras 16 MP Front Camera","3000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Mi 8 Pro","Android v8.1 (Oreo)","6.21 inches (15.77 cm) bezel-less display with notch","12 + 12 MP Dual Rear Cameras 20 MP Front Camera","3000 mAh battery with Quick Charging v4.0","On-screen Fingerprint Sensor No 3.5 mm headphone jack present",,,
"Realme X Pro","Android v9.0 (Pie)","6.5 inches (16.51 cm) bezel-less display Gorilla Glass 5 Protection","64 + 8 + 5 + 2 MP Quad Rear Cameras 25 MP Front Camera","4000 mAh battery with VOOC Charging v3.0","Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Xiaomi Redmi 6 Pro","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","5.84 inches (14.83 cm) bezel-less display with notch","12 + 5 MP Dual Rear Cameras 5 MP Front Camera","4000 mAh battery","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Apple iPhone XR","iOS v12.0","6.1 inches (15.49 cm) bezel-less display with notch Oleophobic coating Protection","12 MP Rear Camera 7 MP Front Camera","2942 mAh battery with Fast Charging, charges upto 50% in 30 minutes Wireless Charging","No Fingerprint Sensor Face Unlock No 3.5 mm headphone jack present",,,
"Samsung Galaxy A7 2018","Android v8.0 (Oreo) Upgradable to v9.0 (Pie)","6.0 inches (15.24 cm) bezel-less display Gorilla Glass 5 Protection","24 + 5 + 8 MP Triple Rear Cameras 24 MP Front Camera","3300 mAh battery","Side Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Asus ROG Phone 2","Android v9.0 (Pie)","6.59 inches (16.74 cm) bezel-less display Gorilla Glass 5 Protection","48 + 13 MP Dual Rear Cameras 24 MP Front Camera","6000 mAh battery with Hyper Charging","On-screen Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Honor 9X","Android v9.0 (Pie)","6.59 inches (16.74 cm) bezel-less display","48 + 2 MP Dual Rear Cameras 16 MP Front Camera","4000 mAh battery","Side Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Nokia 6.1 Plus","Android v8.1 (Oreo) Upgradable to v9.0 (Pie)","5.8 inches (14.73 cm) bezel-less display with notch Gorilla Glass 5 Protection","16 + 5 MP Dual Rear Cameras 16 MP Front Camera","3060 mAh battery with Fast Charging, charges upto 50% in 30 minutes","Rear Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
"Realme C1","Android v9.0 (Pie)","6.2 inches (15.75 cm) bezel-less display with notch Corning Gorilla Glass Protection","13 + 2 MP Dual Rear Cameras 5 MP Front Camera","4230 mAh battery","No Fingerprint Sensor Face Unlock 3.5 mm headphone jack present",,,
